# object_id,ra,dec,z
43158584464247527,150.163726,1.642776,0.658500
43158584464248218,150.307992,1.660867,0.315300
43158859342175256,149.890662,1.659247,0.050200
43158859342180144,149.841319,1.754139,0.130100
43158863637140239,149.872867,1.764930,0.100000
43159001076092901,149.614294,1.766270,0.114900
43159001076073214,149.684283,1.782475,0.595000
43159001076095027,149.675532,1.812344,0.140000
43158588759215379,150.208174,1.838737,0.275900
43158726198168469,150.048775,1.837784,0.160000
43158451320284397,150.487923,1.844371,0.080000
43158863637122394,149.906665,1.849660,0.138900
43159001076096768,149.640344,1.850062,0.045900
43158863637144372,149.837647,1.850062,0.138500
43158451320263064,150.390839,1.870971,0.076000
43159001076077226,149.668296,1.890210,2.716200
43158313881309861,150.707885,1.901538,0.066600
43159001076099969,149.625833,1.907951,0.044700
43159001076100979,149.712033,1.924616,0.074600
43158863637148774,149.790296,1.929396,0.050000
43158318176272955,150.556578,1.962371,2.812600
43158867932111027,149.957506,1.993857,0.133000
43158180737339679,150.742955,1.993126,0.100000
43158455615251550,150.455689,1.998310,0.160000
43159005371042197,149.738928,2.008677,0.098100
43158455615252247,150.483793,2.010564,0.137800
43158593054207116,150.186800,2.024423,0.230000
43158593054207296,150.238677,2.028600,0.140200
43159142810016745,149.510935,2.030662,0.055700
43158730493159598,150.141141,2.031747,0.088000
43158867932113735,149.923308,2.047707,0.140000
43158730493161131,150.064765,2.058394,0.189900
43158318176298953,150.653650,2.066267,0.100000
43158730493162803,150.018684,2.084206,0.130900
43159005371068788,149.660487,2.093048,0.116900
43158318176300866,150.714527,2.104182,0.178600
43158730493165795,150.025018,2.132419,0.219100
43158593054214023,150.208263,2.128850,0.054800
43158597349170996,150.174456,2.153500,0.660100
43159009666029283,149.651607,2.157485,0.119200
43158734788125168,150.056045,2.166589,0.101700
43158872227055581,149.825379,2.181558,0.055300
43158872227055698,149.818382,2.184605,0.023100
43158322471242375,150.689233,2.199656,0.140000
43158322471265793,150.574091,2.230251,1.730700
43158734788129793,150.084365,2.231269,0.079500
43158734788104511,150.110005,2.237870,0.110900
43158322471250229,150.572175,2.251394,1.561600
43159009666034718,149.767895,2.254776,0.005000
43158872227082791,149.959958,2.263355,0.139400
43158734788105866,150.057746,2.269548,0.091100
43159147104965731,149.529766,2.278410,0.088000
43158872227086600,149.845528,2.323059,0.069700
43159151399946390,149.557535,2.326760,1.633400
43158876522044293,149.803632,2.336610,0.067500
43158326766228433,150.627271,2.348531,0.040000
43158601644138647,150.207055,2.369013,0.109600
43158326766229538,150.654292,2.370289,0.189000
43158739083091811,150.020402,2.379823,0.106900
43159151399949483,149.544439,2.395570,0.160000
43158876522048397,149.895997,2.395672,0.139200
43158601644140872,150.242069,2.398076,0.080200
43158464205189810,150.459783,2.420102,0.110500
43158326766232760,150.543603,2.427166,0.709200
43158601644143696,150.166819,2.436857,0.088200
43158464205190667,150.374701,2.438710,0.128100
43158739083072822,150.014368,2.455603,0.080400
43158601644145083,150.287744,2.459291,0.113000
43158739083097571,149.973077,2.460777,0.089800
43158876522052696,149.879562,2.464165,0.100000
43158601644145867,150.246117,2.472015,0.114800
43158464205167283,150.365689,2.483010,0.178400
43158876522054110,149.893859,2.493847,0.144900
43158739083074585,149.995515,2.501752,0.101300
43158468500150470,150.424804,2.527721,0.220000
43158605939104459,150.173727,2.530815,0.152500
43158743378035692,149.978286,2.530253,0.105600
43158193622240130,150.740150,2.590661,0.371600
43158743378062741,150.131398,2.604825,0.039300
43158743378064330,150.002297,2.633205,0.005100
43158743378064543,149.973036,2.634624,0.121400
43158468500157248,150.487971,2.638113,0.088200
43158880816994616,149.840203,2.666822,0.225900
43158880817018390,149.819042,2.671672,0.006200
43158880817019084,149.854255,2.683997,0.006900
43158331061181116,150.691963,2.686296,0.181600
43158880817019366,149.876055,2.688767,0.049600
43158880817019731,149.830709,2.695537,0.080500
43158743378069127,149.998202,2.698062,0.161000
43158747673023817,150.031444,2.704108,0.220200
43158885111976928,149.852811,2.711575,0.086800
43158335356161066,150.683093,2.721514,0.126400
43158610234050224,150.296374,2.737251,0.067300
43158472795119811,150.451312,2.744681,0.126400
43158472795120933,150.468075,2.762864,1.477100
43158885111958117,149.840552,2.763045,0.114800
43158610234073549,150.169803,2.767661,0.160500
43158472795122037,150.349209,2.782972,0.070200
43159022550929853,149.713281,2.786754,0.050100
43159022550929935,149.756669,2.790007,0.132000
43158584464270119,150.192211,1.662915,0.229900
